epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3738,1.67022,1.92385,1.72829,0.71876,0.61596,0.69362,0.34761,1.65709,1.54297,1.88988,0.000660661,0.000660661,0.000660661
2,97.6272,1.53689,1.36637,1.64313,0.69546,0.71386,0.77622,0.39659,1.56161,1.3279,1.89995,0.00130105,0.00130105,0.00130105
3,143.636,1.49678,1.30877,1.62522,0.01017,0.6506,0.0091,0.00407,1.8617,39.3426,2.0153,0.00191503,0.00191503,0.00191503
4,188.221,1.43645,1.24761,1.58477,0.73821,0.8253,0.84747,0.46803,1.36372,1.10809,1.6447,0.0018812,0.0018812,0.0018812
5,233.602,1.40541,1.22566,1.57408,0.76539,0.81325,0.82012,0.45765,1.38604,1.17913,1.67837,0.0018416,0.0018416,0.0018416
6,278.264,1.39458,1.18118,1.55349,0.77865,0.8494,0.87647,0.51063,1.29283,1.00233,1.57037,0.001802,0.001802,0.001802
7,322.639,1.31218,1.1018,1.48402,0.7945,0.86747,0.88738,0.54928,1.22068,0.93615,1.54137,0.0017624,0.0017624,0.0017624
8,367.925,1.30194,1.03705,1.47921,0.75419,0.90568,0.86505,0.5576,1.16685,0.86089,1.48562,0.0017228,0.0017228,0.0017228
9,411.382,1.2971,1.01432,1.46881,0.79235,0.86199,0.87971,0.56611,1.16944,0.84095,1.49519,0.0016832,0.0016832,0.0016832
10,457.141,1.26124,1.01656,1.45769,0.87766,0.79948,0.90327,0.58031,1.18592,0.84214,1.50992,0.0016436,0.0016436,0.0016436
11,501.57,1.26686,1.00712,1.45661,0.82739,0.89518,0.91964,0.61022,1.15095,0.78249,1.44696,0.001604,0.001604,0.001604
12,547.239,1.23763,0.99947,1.43967,0.79275,0.87952,0.86548,0.56848,1.11087,0.86855,1.43854,0.0015644,0.0015644,0.0015644
13,592.078,1.19326,0.95225,1.4125,0.7887,0.95181,0.90173,0.61774,1.10427,0.74712,1.44635,0.0015248,0.0015248,0.0015248
14,637.042,1.19839,0.95686,1.41362,0.83055,0.85843,0.90495,0.60336,1.0838,0.78791,1.42389,0.0014852,0.0014852,0.0014852
15,681.061,1.16009,0.90657,1.38586,0.83112,0.9247,0.93174,0.63726,1.07447,0.69698,1.43048,0.0014456,0.0014456,0.0014456
16,726.217,1.17086,0.93682,1.39125,0.86356,0.89603,0.93219,0.63996,1.04677,0.72987,1.3889,0.001406,0.001406,0.001406
17,771.432,1.14,0.89818,1.38207,0.84542,0.91426,0.91289,0.64238,1.01415,0.70942,1.36236,0.0013664,0.0013664,0.0013664
18,815.86,1.14613,0.91132,1.38414,0.88755,0.9006,0.93971,0.64955,1.04695,0.67885,1.39978,0.0013268,0.0013268,0.0013268
19,860.543,1.12726,0.868,1.36592,0.87299,0.93072,0.93791,0.67099,1.0329,0.62329,1.36988,0.0012872,0.0012872,0.0012872
20,905.347,1.10472,0.84853,1.34652,0.86339,0.92922,0.94342,0.65947,1.05132,0.64821,1.37861,0.0012476,0.0012476,0.0012476
21,950.702,1.08805,0.84227,1.34561,0.88101,0.91867,0.95194,0.68126,1.02421,0.63681,1.35627,0.001208,0.001208,0.001208
22,994.721,1.08402,0.85126,1.33797,0.88443,0.91114,0.95294,0.68682,0.99274,0.62705,1.34357,0.0011684,0.0011684,0.0011684
23,1039.89,1.0682,0.84305,1.32599,0.88722,0.88705,0.93762,0.65649,1.03739,0.64537,1.38339,0.0011288,0.0011288,0.0011288
24,1084.21,1.06814,0.837,1.33286,0.8457,0.92448,0.92863,0.67584,0.97302,0.6333,1.32678,0.0010892,0.0010892,0.0010892
