epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5223,1.67022,1.92385,1.72829,0.71876,0.61596,0.69362,0.34761,1.65709,1.54297,1.88988,0.000660661,0.000660661,0.000660661
2,92.5007,1.53082,1.36268,1.64261,0.71162,0.71536,0.71845,0.30372,1.81282,1.44689,2.1207,0.0013109,0.0013109,0.0013109
3,136.907,1.52428,1.32792,1.65435,0.68022,0.7368,0.72056,0.36813,1.55384,1.59677,1.8207,0.00194464,0.00194464,0.00194464
4,181.41,1.4674,1.23661,1.59711,0.68914,0.6506,0.71502,0.37719,1.40348,1.26315,1.66873,0.00192575,0.00192575,0.00192575
5,225.211,1.42614,1.22119,1.58012,0.71187,0.87815,0.85156,0.48411,1.27284,1.09188,1.57453,0.001901,0.001901,0.001901
6,268.785,1.37464,1.18077,1.55679,0.80523,0.77829,0.84526,0.50574,1.29096,0.96727,1.59777,0.00187625,0.00187625,0.00187625
7,313.421,1.32861,1.09176,1.50774,0.7627,0.88855,0.865,0.53328,1.21432,0.97909,1.54886,0.0018515,0.0018515,0.0018515
8,358.298,1.31743,1.06088,1.50015,0.77462,0.88511,0.88312,0.5469,1.19053,0.92343,1.50384,0.00182675,0.00182675,0.00182675
9,401.649,1.30019,1.02962,1.46967,0.80476,0.8877,0.89265,0.56426,1.2013,0.89709,1.5224,0.001802,0.001802,0.001802
10,445.267,1.28168,1.01952,1.47455,0.80608,0.91717,0.9096,0.61585,1.12301,0.75878,1.44654,0.00177725,0.00177725,0.00177725
11,489.394,1.27193,1.01891,1.46384,0.8253,0.88705,0.92161,0.60939,1.16029,0.78334,1.48556,0.0017525,0.0017525,0.0017525
12,532.712,1.24891,1.00353,1.45397,0.8078,0.90361,0.88126,0.58986,1.10541,0.81226,1.45159,0.00172775,0.00172775,0.00172775
13,576.393,1.21599,0.95395,1.4184,0.8097,0.93555,0.90364,0.59785,1.12476,0.79919,1.44864,0.001703,0.001703,0.001703
14,621.325,1.1985,0.93526,1.40544,0.83483,0.88253,0.9063,0.60338,1.08174,0.76678,1.42466,0.00167825,0.00167825,0.00167825
15,664.558,1.17857,0.92485,1.39422,0.85025,0.92018,0.92186,0.62567,1.11197,0.71837,1.45476,0.0016535,0.0016535,0.0016535
16,710.174,1.19327,0.96067,1.41447,0.8519,0.92691,0.92414,0.62715,1.07143,0.70962,1.40743,0.00162875,0.00162875,0.00162875
17,754.155,1.1646,0.92405,1.40271,0.83519,0.92346,0.91695,0.63418,1.03523,0.72724,1.38856,0.001604,0.001604,0.001604
18,798.582,1.1633,0.9292,1.39976,0.86061,0.90194,0.93137,0.63588,1.06765,0.69552,1.43823,0.00157925,0.00157925,0.00157925
19,842.307,1.14252,0.9008,1.38354,0.85444,0.92823,0.93905,0.64868,1.07403,0.68373,1.40515,0.0015545,0.0015545,0.0015545
20,885.488,1.13289,0.85837,1.36385,0.86601,0.92018,0.94244,0.6447,1.08976,0.66569,1.38611,0.00152975,0.00152975,0.00152975
21,929.001,1.11861,0.86818,1.36606,0.86361,0.92498,0.93628,0.64377,1.05106,0.69281,1.39043,0.001505,0.001505,0.001505
22,971.437,1.11646,0.87722,1.35537,0.88736,0.90813,0.95026,0.67996,1.04384,0.63884,1.37456,0.00148025,0.00148025,0.00148025
23,1015.13,1.10225,0.85977,1.35159,0.8671,0.92922,0.9397,0.65905,1.04569,0.65483,1.39064,0.0014555,0.0014555,0.0014555
24,1058.42,1.1143,0.8696,1.35987,0.84616,0.93601,0.92767,0.65521,1.01595,0.66754,1.38822,0.00143075,0.00143075,0.00143075
25,1101.43,1.06759,0.83865,1.32389,0.86979,0.92319,0.94505,0.68693,1.00051,0.62474,1.34105,0.001406,0.001406,0.001406
26,1145.16,1.08831,0.84405,1.35113,0.86745,0.92169,0.92812,0.63977,1.04087,0.65655,1.38535,0.00138125,0.00138125,0.00138125
27,1188.33,1.06966,0.82461,1.32721,0.84318,0.9393,0.94105,0.68489,0.99247,0.63231,1.33362,0.0013565,0.0013565,0.0013565
28,1231.02,1.08439,0.8381,1.33829,0.87837,0.93675,0.95352,0.70231,0.96208,0.60666,1.32249,0.00133175,0.00133175,0.00133175
29,1275.44,1.08057,0.81797,1.33243,0.87097,0.91265,0.93983,0.6799,0.98698,0.6577,1.32264,0.001307,0.001307,0.001307
30,1318.11,1.05727,0.79137,1.31905,0.89706,0.90556,0.94966,0.68522,1.02523,0.63544,1.36252,0.00128225,0.00128225,0.00128225
31,1360.29,1.04674,0.81212,1.31784,0.89754,0.92347,0.95271,0.69235,0.9894,0.58841,1.33137,0.0012575,0.0012575,0.0012575
32,1403.65,1.04218,0.78492,1.30679,0.89112,0.90813,0.93539,0.67728,0.97674,0.63166,1.33734,0.00123275,0.00123275,0.00123275
33,1446.45,1.02579,0.77509,1.2989,0.86232,0.94277,0.93054,0.68491,0.99274,0.59549,1.33433,0.001208,0.001208,0.001208
